sensorId,assemblyEpochMillis,supervisorEpochMillis,influxEpochMillis
sensor-0,1700912631035,1700912631040,1700912631654
sensor-0,1700912632035,1700912632038,1700912632655
sensor-0,1700912633035,1700912633042,1700912633656
sensor-0,1700912634035,1700912634039,1700912634664
sensor-0,1700912635036,1700912635041,1700912635654
sensor-0,1700912636036,1700912636039,1700912636653
sensor-0,1700912637036,1700912637039,1700912637656
sensor-0,1700912638035,1700912638038,1700912638657
sensor-0,1700912639036,1700912639039,1700912639655
sensor-0,1700912640035,1700912640042,1700912640655
sensor-1,1700912631035,1700912631041,1700912631588
sensor-1,1700912632036,1700912632038,1700912632588
sensor-1,1700912633036,1700912633038,1700912633588
sensor-1,1700912634035,1700912634039,1700912634588
sensor-1,1700912635036,1700912635041,1700912635589
sensor-1,1700912636036,1700912636040,1700912636587
sensor-1,1700912637036,1700912637040,1700912637588
sensor-1,1700912638036,1700912638038,1700912638586
sensor-1,1700912639036,1700912639039,1700912639590
sensor-1,1700912640035,1700912640042,1700912640587
sensor-10,1700912631035,1700912631041,1700912631654
sensor-10,1700912632036,1700912632039,1700912632655
sensor-10,1700912633036,1700912633043,1700912633656
sensor-10,1700912634035,1700912634040,1700912634664
sensor-10,1700912635036,1700912635045,1700912635654
sensor-10,1700912636036,1700912636040,1700912636653
sensor-10,1700912637036,1700912637040,1700912637656
sensor-10,1700912638036,1700912638042,1700912638657
sensor-10,1700912639036,1700912639040,1700912639655
sensor-10,1700912640035,1700912640043,1700912640655
sensor-100,1700912631035,1700912631049,1700912631654
sensor-100,1700912632036,1700912632049,1700912632655
sensor-100,1700912633036,1700912633050,1700912633656
sensor-100,1700912634035,1700912634051,1700912634664
sensor-100,1700912635036,1700912635049,1700912635654
sensor-100,1700912636036,1700912636051,1700912636653
sensor-100,1700912637036,1700912637052,1700912637656
sensor-100,1700912638036,1700912638044,1700912638657
sensor-100,1700912639036,1700912639049,1700912639655
sensor-100,1700912640035,1700912640055,1700912640655
sensor-101,1700912631035,1700912631049,1700912631588
sensor-101,1700912632036,1700912632048,1700912632588
sensor-101,1700912633036,1700912633051,1700912633588
sensor-101,1700912634035,1700912634051,1700912634588
sensor-101,1700912635036,1700912635051,1700912635589
sensor-101,1700912636036,1700912636057,1700912636587
sensor-101,1700912637036,1700912637052,1700912637588
sensor-101,1700912638036,1700912638041,1700912638586
sensor-101,1700912639036,1700912639049,1700912639590
sensor-101,1700912640035,1700912640058,1700912640587
sensor-102,1700912631035,1700912631049,1700912631654
sensor-102,1700912632036,1700912632049,1700912632655
sensor-102,1700912633036,1700912633050,1700912633656
sensor-102,1700912634035,1700912634051,1700912634664
sensor-102,1700912635036,1700912635049,1700912635654
sensor-102,1700912636036,1700912636051,1700912636653
sensor-102,1700912637036,1700912637053,1700912637656
sensor-102,1700912638036,1700912638044,1700912638657
sensor-102,1700912639036,1700912639049,1700912639655
sensor-102,1700912640035,1700912640056,1700912640655
sensor-103,1700912631035,1700912631049,1700912631588
sensor-103,1700912632036,1700912632049,1700912632588
sensor-103,1700912633036,1700912633051,1700912633588
sensor-103,1700912634035,1700912634051,1700912634588
sensor-103,1700912635036,1700912635051,1700912635589
sensor-103,1700912636036,1700912636057,1700912636587
sensor-103,1700912637036,1700912637053,1700912637588
sensor-103,1700912638036,1700912638041,1700912638586
sensor-103,1700912639036,1700912639049,1700912639590
sensor-103,1700912640035,1700912640058,1700912640587
sensor-104,1700912631035,1700912631049,1700912631654
sensor-104,1700912632036,1700912632049,1700912632655
sensor-104,1700912633036,1700912633050,1700912633656
sensor-104,1700912634035,1700912634051,1700912634664
sensor-104,1700912635036,1700912635049,1700912635654
sensor-104,1700912636036,1700912636051,1700912636653
sensor-104,1700912637036,1700912637055,1700912637656
sensor-104,1700912638036,1700912638044,1700912638657
sensor-104,1700912639036,1700912639049,1700912639655
sensor-104,1700912640036,1700912640056,1700912640655
sensor-105,1700912631035,1700912631050,1700912631588
sensor-105,1700912632036,1700912632049,1700912632588
sensor-105,1700912633036,1700912633051,1700912633588
sensor-105,1700912634035,1700912634051,1700912634588
sensor-105,1700912635036,1700912635051,1700912635589
